Name,Title/Alias/Rank,Tags,Relations,Age,Birth Year,Death Year,Race/Species,Family/Guild/Organisation,Home
Gaius Septimus,"Ordo Legatus of the Empire, Wielder of the Palantine Sword.","Palantine Empire, Valkoria","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ",55,3160,,"Fiendspawn (Fiendspawn%205223a6b6b6b94d348478ed8a35569169.csv) Jotun (Jotun%20854ab2adba3d4ce09e6d2109bb4651e5.csv) ","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ","Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.csv) "
Gallokk,Excavators,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",25,3190,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Gamagee Inknails,,,,72,2420,2492,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ",,"Railforge (Railforge%20636860fcabe440b085c251c97af3d2b0.csv) "
Gangin Ironhammer,Ember Warden,Emberdeep,"Emberguard (Emberguard%2018275a22781a806cb27adda3a65bbad1.csv) ",44,3171,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Emberguard (Emberguard%2018275a22781a806cb27adda3a65bbad1.csv) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Ganrad Thundercliff,"Knight Chaplain, Ganard",Emberdeep,"Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.csv) ",59,3156,,"Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.csv) ","Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.csv) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Garrant,Warden of the Wolf,Mz'Lupakku,"Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",45,3170,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Gazzna Bramblenock,Azure Sage,"Azureglade, Cerulia, Umbra","Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) ",37,3178,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ",,"Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) "
Gerda Tinbuckle,Old Gerda,Emberdeep,,62,3153,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Lost and Found Antiques (Lost%20and%20Found%20Antiques%2018675a22781a80fc8beac1631da5bfc0.csv) Candlelight Shelter (Candlelight%20Shelter%2018675a22781a80eaafede158d368710c.csv) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Godrus Cinderbark,"Militia Captain of Vakkengard (Titan’s Rest) (Vakkengard%20(Titan%E2%80%99s%20Rest)%20b8c329549abf41648464107b78a72b2a.csv), and ","Silver Eagles, Vakkengard","Radegundh V Duskember (Radegundh%20V%20Duskember%20ac0c23e3ded6497fb008f10fc5232fbc.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Silver Eagles (Silver%20Eagles%20eda02d5b743247b1996ab7388b532bb2.csv) ",25,3190,,"Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.csv) ",,"Vakkengard (Titan’s Rest) (Vakkengard%20(Titan%E2%80%99s%20Rest)%20b8c329549abf41648464107b78a72b2a.csv) "
Gomono Strongfist,,,"Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) ",35,3180,,"Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.csv) ",,"Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) "
Grak the Culinary Wanderer,The Culinary Wanderer,,,65,3150,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) ",,"Kas’Velar (Kas%E2%80%99Velar%20476c9e227f2443eca550f0ab8be45af5.csv) "
Gregory ‘Greg’ Barkley,,Howlcrest,,65,3150,,"Vulkris (Vulkris%2012dd0b6e6e514467ae08b5c2c15eaf3b.csv) ",,"Howlcrest (Howlcrest%20332eac8a6dc1479da57f61a0b0f6b116.csv) "
Gremolim Goldheart,Spinner,Spinners,"Brand (Brand%20607d655e23dd44bd8e867a910c8172cf.csv) ",75,3140,,"Jotun (Jotun%20854ab2adba3d4ce09e6d2109bb4651e5.csv) ","Spinners (Spinners%201d3ca363d0f54ce2bdc9a2e6ae214654.csv) ","Kas’Velar (Kas%E2%80%99Velar%20476c9e227f2443eca550f0ab8be45af5.csv) "
Grevan the Red aka Firemane,Hunter and Bodyguard,,,24,3191,,"Elementian (Elementian%208e75da99a0c04701a3154f15663d11f8.csv) Felidari (Felidari%20d0409eca482e483f9ef4ebf4d9aed416.csv) ",,"Howlcrest (Howlcrest%20332eac8a6dc1479da57f61a0b0f6b116.csv) "
Grimshtod Bing,"Barkeep at the Civic Knuckle (Civic%20Knuckle%2020775a22781a80a9a738e49abe196f63.csv) ",Emberdeep,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) ",37,3178,,"Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.csv) ",,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Gugnir Brimsteel ‘The Emberlord’,The Emberlord,Emberdeep,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) ",50,3165,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ",Brimsteel Royal Family,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Hildegrin Brewtoe,"Steward of Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) ",,"Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) ",45,3170,,"Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.csv) ",,"Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) "
"Horizon of Storms aka Tempest ",Head of the Howlcrest Hunters,Howlcrest,,55,3160,,"Ursa (Ursa%20c6e1ce262b0242a798aa5defdfffffb9.csv) ",,"Howlcrest (Howlcrest%20332eac8a6dc1479da57f61a0b0f6b116.csv) "
Ina Barriar,Archmagus of Spiritualism,"Argentcourt, Lycia","Lycia (Lycia%20402bf15c994f402cbbf4ef7250df6463.csv) ",28,3187,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","Archmagi of Lycia (Archmagi%20of%20Lycia%201eaaceb5525d487ba938d86fd71cc537.csv) ","Argentcourt (Argentcourt%20b41a9e66f343460486a277b32660228c.csv) "
Iorek Needlefingers,"Shadowblade of the Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ","Bellmark's Landing, Ebon Syndicate","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ",60,3155,,"Goblin (Goblin%20a2f5ebad3a484c4dae5d5b0d12cdd746.csv) ","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
"Jack Campanella ",Little Bell,"Bellmark's Landing, Copper Rats","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",30,3185,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Jaina Timbercroft,House Timbercroft Noble,"House Timbercroft, Queendom of Nya'Tallin","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",39,3176,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","House Mavis (House%20Mavis%20328ee681854044d490cbd4510b8719f6.csv) ",House Timbercroft
Jamari Grey,"Jamari, The Bloody Handed",Queendom of Nya'Tallin,"Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",42,3171,3213,"Jotun (Jotun%20854ab2adba3d4ce09e6d2109bb4651e5.csv) ","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) "
Jared Rolo,Cartographer,"Bellmark's Landing, Dawnsreach, Quills of Ios","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ",33,3182,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Dawnsreach (Dawnsreach%20761cae0d1e6a43e2ae73a08f7d6fc2ce.csv) "
Kaito Lightbinder,,"Astromancer, Hangetsu Clan, Yamagato","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Astellios Lightseeker (Astellios%20Lightseeker%209df94ac6f30949a69dd6c024e821df50.csv) ",45,3170,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ",None,"Himoari (Himoari%20428d909dafc94e9d9293056ddd09ab51.csv) "
Kale Wilkes,Hoard Merchant,The Hoard,"The Hoard (The%20Hoard%204ce3b4350ee04ffda2b8b8ff05315728.csv) ",71,3144,,"Goblin (Goblin%20a2f5ebad3a484c4dae5d5b0d12cdd746.csv) ","The Hoard (The%20Hoard%204ce3b4350ee04ffda2b8b8ff05315728.csv) ","Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) "
Karfixia,‘Lady’ Karfixia,,"Dragon Lands (Dragon%20Lands%20ce9140f993044a80964a1b2ba0eb025a.csv) ",48,3167,3215,"High Draconian (High%20Draconian%2083942692fba74247bf1e53cc21847ffa.csv) ",,"Dragon Lands (Dragon%20Lands%20ce9140f993044a80964a1b2ba0eb025a.csv) Cobalt Forest (Cobalt%20Forest%2018675a22781a804ebf16d0524faa6b2f.csv) "
Karlatan Irontoe,Witch’s End (Witch%E2%80%99s%20End%2068ed9e9cc8924625ae221afa3ecc3747.csv) Representative in the Valkorian City-States (Valkorian%20City-States%2094cc103e39aa4dc4a9e2e08376851195.csv).,"Valkoria, Witch's End","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) Valkorian City-States (Valkorian%20City-States%2094cc103e39aa4dc4a9e2e08376851195.csv) ",48,3167,,"Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.csv) ",,"Witch’s End (Witch%E2%80%99s%20End%2068ed9e9cc8924625ae221afa3ecc3747.csv) "
Kelemar Ashbringer,"Father Kelemar, Gravekeeper","Church of the Twelve, Emberdeep","Graav (God of Death) (Graav%20(God%20of%20Death)%20d63b83eee74f4e1c9db355255ee1a0a0.csv) ",40,3175,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.csv) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Kerrin,Woodcutter,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",16,3199,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Kirbur Thunderskin,Bone Collector,"Bellmark's Landing, Bone Collectors","Bone Collectors (Bone%20Collectors%20038ecb902478415e8b99c9a880990a1d.csv) Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",58,3157,,"Beastkin (Beastkin%209d4322a60f6c4f839ef527a292b33535.csv) ","Bone Collectors (Bone%20Collectors%20038ecb902478415e8b99c9a880990a1d.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Klerana Mavis,-,"Queendom of Nya'Tallin, Valkoria","Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.csv) Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",100,2380,2480,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","House Mavis (House%20Mavis%20328ee681854044d490cbd4510b8719f6.csv) ","Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) "
Klotan V Duskember," Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv)’s Representative in the Valkorian City-States (Valkorian%20City-States%2094cc103e39aa4dc4a9e2e08376851195.csv).","Bellmark's Landing, Vakkengard","Vakkengard (Titan’s Rest) (Vakkengard%20(Titan%E2%80%99s%20Rest)%20b8c329549abf41648464107b78a72b2a.csv) ",47,3168,,"Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.csv) ",,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Kodron Blackheart,Seer Blackheart,"Black Lagoon, Dragon Lands","Black Lagoon (Black%20Lagoon%2003d6c0c76ea54a41b63c3bcc2245e2d9.csv) ",97,3118,,"Draconian (Draconian%20ad50140d703041b7ac34b0776a1f9722.csv) ","Seers of the Black Lagoon (Seers%20of%20the%20Black%20Lagoon%2041eb5baaa79240569f9d652eb7e18087.csv) ","Black Lagoon (Black%20Lagoon%2003d6c0c76ea54a41b63c3bcc2245e2d9.csv) "
Koga Hangetsu,Clan Chief of the Hangetsu,Yamagato,"Himoari (Himoari%20428d909dafc94e9d9293056ddd09ab51.csv) ",44,3171,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Hangetsu Clan (Hangetsu%20Clan%204f4cf2951eef4ce1ae0eb026c3b3ab4e.csv) ","Himoari (Himoari%20428d909dafc94e9d9293056ddd09ab51.csv) "
Lamia Thraezin,Lord of the Thraezin Family,"Darkmoor, Tenebrium, Xifajk","Thraezin Family (Thraezin%20Family%2010675a22781a80ce927bdd66c669df37.csv) ",60,3155,,"Fiend (Fiend%205049cfc5296c4178bea52b4bbcb5a689.csv) ",Lord of the Thraezin Family,"Darkmoor (Darkmoor%203254469a048741b89b86d393f5ca5688.csv) "
Ling Mei,Tea House Owner,Yamagato,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",74,3141,,"Lightborn (Lightborn%200bc5d6fb80e64990a02dbbe2d5abf9dc.csv) ",,"Outskirts of Himoari (Himoari%20428d909dafc94e9d9293056ddd09ab51.csv) and Yorimatsu (Yorimatsu%20a458d020e113463598eb6eff2c55bb16.csv) "
Lorelei Shadowmend,Archmagus of Creation,"Argentcourt, Lycia","Lycia (Lycia%20402bf15c994f402cbbf4ef7250df6463.csv) ",41,3174,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Archmagi of Lycia (Archmagi%20of%20Lycia%201eaaceb5525d487ba938d86fd71cc537.csv) ","Argentcourt (Argentcourt%20b41a9e66f343460486a277b32660228c.csv) "
Lothar Blackmane,Warrior King of Bhadir,Bhadir,"Bhadir (Bhadir%20eecd93006c3f41b2823d389bf90cf286.csv) ",28,3187,,"Beastkin (Beastkin%209d4322a60f6c4f839ef527a292b33535.csv) ",,"Bhadir (Bhadir%20eecd93006c3f41b2823d389bf90cf286.csv) "
Lucien Dupont,Village Elder,Willowmist,"Willowmist (Willowmist%207b368962f9264d3996b4de3e08b5291b.csv) ",71,3144,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",,"Willowmist (Willowmist%207b368962f9264d3996b4de3e08b5291b.csv) "
Lunabelle,,,"Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) ",65,3150,3215,"Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.csv) ",,"Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) "
Maev Rex,Archmagus of War,"Argentcourt, Lycia","Lycia (Lycia%20402bf15c994f402cbbf4ef7250df6463.csv) ",50,3165,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Archmagi of Lycia (Archmagi%20of%20Lycia%201eaaceb5525d487ba938d86fd71cc537.csv) ","Argentcourt (Argentcourt%20b41a9e66f343460486a277b32660228c.csv) "
Magnus Rolo,The Explorer,Runaria,,96,2903,2999,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",Rolo Family,"Runaria (Runaria%2013a9b9a7f3ee4868a3a851155c4ea24b.csv) "
Marcus Steeljaw,"Former Tribune, Council Member of the Valkorian City-States (Valkorian%20City-States%2094cc103e39aa4dc4a9e2e08376851195.csv)",Bellmark's Landing,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Silver Eagles (Silver%20Eagles%20eda02d5b743247b1996ab7388b532bb2.csv) ",51,3164,,"Draconian (Draconian%20ad50140d703041b7ac34b0776a1f9722.csv) ","Leader of Silver Eagles (Silver%20Eagles%20eda02d5b743247b1996ab7388b532bb2.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Marduuk Half-ear,,Azureglade,,33,3182,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) ",,"Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) "
Marga Stoneshaper,Chieftain of the Falls,Falls of Gohondar,"Falls of Gohondar (Falls%20of%20Gohondar%20d07eb0543c1448ef9bb03ec5f4d22f3c.csv) ",26,3189,,"Titanborn (Titanborn%20cfc56316494e4efeb581fb61e10eabab.csv) ",,"Falls of Gohondar (Falls%20of%20Gohondar%20d07eb0543c1448ef9bb03ec5f4d22f3c.csv) "
Margarita Fazzari,Fazzari Gelato,Bellmark's Landing,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",54,3161,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",Fazzari Gelato Makers,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Martell Martin,"Flare, The Pyromancer of Bellmark’s Landing",Queendom of Nya'Tallin,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ",35,3180,,"Elementian (Elementian%208e75da99a0c04701a3154f15663d11f8.csv) Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Argentcourt (Argentcourt%20b41a9e66f343460486a277b32660228c.csv) "
Massimo Colombo,Tribune,Palantine Empire,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",53,3160,3213,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ","Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.csv) "
Maxim Veril,-,Bellmark's Landing,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",63,3152,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Melanos Starcaller,Chief Chronicler,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",83,3132,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ",,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) "
Merek Stonebake,-,Ordona,"Ordona (Ordona%2097fdf7ca0d2f4b10aa4b2958a480b0b7.csv) ",48,3167,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ",,"Ordona (Ordona%2097fdf7ca0d2f4b10aa4b2958a480b0b7.csv) "
Merekki,"Undertaker, Wolf Shaman and Caller for the Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",35,3180,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Mikey Shirdown,Bone Collector Scout,"Bellmark's Landing, Bone Collectors","Bone Collectors (Bone%20Collectors%20038ecb902478415e8b99c9a880990a1d.csv) Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",45,3170,,"Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.csv) ","Bone Collectors (Bone%20Collectors%20038ecb902478415e8b99c9a880990a1d.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Mildred Kylee,"Arcanist of the Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv), Mildey",Quills of Ios,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",63,3152,,"Fairy (Fairy%20b1efd6fec06c4ea49830b03850611a97.csv) ","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Pandemonium (Plane of Chaos) (Pandemonium%20(Plane%20of%20Chaos)%20375249c38c0c4dc39d6cd24993a3eb35.csv) "
Milena Goldleaf,-,Valkoria,"Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.csv) ",43,2375,2418,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) "
Mirabel Varzand,Banker,"Bellmark's Landing, Coffer of Equity","Coffer of Equity (Coffer%20of%20Equity%20c9f978ddfe834d268434bbaf3c295f7b.csv) Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",57,3158,,"Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.csv) ","Coffer of Equity (Coffer%20of%20Equity%20c9f978ddfe834d268434bbaf3c295f7b.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Mirelle,Sister Mirelle,"Church of the Twelve, Dune's Crossing",,35,3180,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.csv) ","Dune’s Crossing (Dune%E2%80%99s%20Crossing%201bd75a22781a80e699d4efb321641172.csv) "
Moira Lockeheart,Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) Raven,"Bellmark's Landing, Ebon Syndicate","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ",24,3191,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Morgan Malcoris,"Lord of the Malcoris Family and Duke of Darkmoor (Darkmoor%203254469a048741b89b86d393f5ca5688.csv) ","Darkmoor, Tenebrium, Xifajk","Silas Kirkwood (Silas%20Kirkwood%20d04a2140535d4ad1b98ca582cd06d070.csv) Malcoris Family (Malcoris%20Family%2041638d15596c4c69914115100a4d2836.csv) ",55,3160,,"Fiend (Fiend%205049cfc5296c4178bea52b4bbcb5a689.csv) ",Lord of the Malcoris Family,"Darkmoor (Darkmoor%203254469a048741b89b86d393f5ca5688.csv) "
Morrgan,Carpenter,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",40,3175,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
"

Nimblewick Gearspindle",,Azureglade,"Darklight (Darklight%201ac75a22781a808ba9b2e4a0340ab212.csv) ",65,3150,,"Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.csv) ",,"Azureglade (Azureglade%2018675a22781a8034896cfec74067092c.csv) "
Odir Steelbranch,Captain of the Red Swallow,Children of Leven,"Children of Leven (Children%20of%20Leven%2030e9783ada974b4585cd6c5222c05939.csv) ",56,3159,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Children of Leven (Children%20of%20Leven%2030e9783ada974b4585cd6c5222c05939.csv) ","Ark of Leven (Ark%20of%20Leven%20fe59ba89f7544b90ba139ded1b5b992e.csv) "
OHI4234 ‘Rune’,Runesmith,Emberdeep,"Ravana’s Aegis (Ravana%E2%80%99s%20Aegis%2020775a22781a8016a59ccf559e09ee83.csv) ",30,3185,,"Forgeborn (Forgeborn%20bc063bad27a6430d94a7bda0638c9f4b.csv) ","Ironstone Consortium (Ironstone%20Consortium%2011275a22781a80be90e7ce7c409785fd.csv) ","Howlcrest (Howlcrest%20332eac8a6dc1479da57f61a0b0f6b116.csv) "
